Age,CO2,Proxy
51.1,725,PALEOSOLS (d13C)
135.7,1711,PALEOSOLS (d13C)
31.6,433,PALEOSOLS (d13C)
31.6,633,PALEOSOLS (d13C)
253.2,1325,PALEOSOLS (d13C)
253.2,1100,PALEOSOLS (d13C)
253.2,883,PALEOSOLS (d13C)
6.4,213,PALEOSOLS (d13C)
6.7,283,PALEOSOLS (d13C)
6.8,372,PALEOSOLS (d13C)
8.8,274,PALEOSOLS (d13C)
9.1,197,PALEOSOLS (d13C)
12.7,267,PALEOSOLS (d13C)
13.7,101,PALEOSOLS (d13C)
17.5,261,PALEOSOLS (d13C)
17.8,237,PALEOSOLS (d13C)
18.0,160,PALEOSOLS (d13C)
18.2,274,PALEOSOLS (d13C)
23.0,203,PALEOSOLS (d13C)
100.8,954,PALEOSOLS (d13C)
102.4,776,PALEOSOLS (d13C)
103.1,990,PALEOSOLS (d13C)
103.3,1315,PALEOSOLS (d13C)
104.6,1558,PALEOSOLS (d13C)
104.7,1424,PALEOSOLS (d13C)
104.8,1568,PALEOSOLS (d13C)
106.1,1749,PALEOSOLS (d13C)
106.4,1843,PALEOSOLS (d13C)
106.5,2099,PALEOSOLS (d13C)
106.6,1871,PALEOSOLS (d13C)
106.9,1870,PALEOSOLS (d13C)
107.8,1501,PALEOSOLS (d13C)
108.8,1269,PALEOSOLS (d13C)
110.3,1331,PALEOSOLS (d13C)
111.1,2046,PALEOSOLS (d13C)
111.5,2458,PALEOSOLS (d13C)
111.8,2350,PALEOSOLS (d13C)
112.3,2286,PALEOSOLS (d13C)
112.7,1774,PALEOSOLS (d13C)
113.8,1619,PALEOSOLS (d13C)
114.8,1893,PALEOSOLS (d13C)
114.9,1783,PALEOSOLS (d13C)
115.3,1709,PALEOSOLS (d13C)
116.1,2082,PALEOSOLS (d13C)
117.8,1705,PALEOSOLS (d13C)
123.3,920,PALEOSOLS (d13C)
123.6,759,PALEOSOLS (d13C)
123.7,1030,PALEOSOLS (d13C)
123.8,1272,PALEOSOLS (d13C)
126.4,1331,PALEOSOLS (d13C)
126.6,1887,PALEOSOLS (d13C)
127.5,2130,PALEOSOLS (d13C)
129.8,1175,PALEOSOLS (d13C)
130.2,1279,PALEOSOLS (d13C)
130.8,1053,PALEOSOLS (d13C)
131.3,2387,PALEOSOLS (d13C)
132.0,3202,PALEOSOLS (d13C)
201.5,1065,PALEOSOLS (d13C)
201.8,1784,PALEOSOLS (d13C)
